(75,161)
(204,46)
(212,59)
(90,33)
(181,53)
(44,164)
(173,49)
(197,168)
(127,180)
(72,155)
(55,93)
(200,170)
(102,25)
(173,76)
(88,136)
(166,37)
(182,152)
(200,188)
(177,46)
(98,140)
(123,84)
(188,52)
(177,64)
(115,80)
(151,173)
(216,141)
(61,127)
(53,34)
(216,159)
(211,53)
(149,78)
(110,159)
(95,107)
(63,173)
(185,162)
(28,215)
(89,45)
(206,203)
(67,45)
(162,35)
(169,83)
(206,221)
(82,24)
(71,24)
(119,82)
(111,78)
(191,196)
(100,87)
(214,72)
(82,51)
(176,64)
(65,138)
(203,179)
(141,106)
(94,34)
(150,173)
(81,64)
(131,83)
(123,79)
(73,60)
(70,162)
(58,108)
(203,188)
(142,178)
(199,47)
(98,153)
(180,52)
(204,180)
(196,176)
(122,101)
(154,170)
(192,35)
(211,48)
(93,74)
(169,42)
(146,175)
(63,177)
(96,76)
(50,207)
(43,82)
(186,140)
(197,140)
(143,178)
(167,145)
(150,74)
(96,103)
(153,70)
(162,48)
(88,108)
(191,182)
(105,188)
(69,67)
(146,49)
(63,42)
(203,165)
(200,178)
(166,36)
(177,36)
(69,94)
(161,168)
(33,19)
(73,55)
(81,68)
(199,42)
(79,135)
(203,192)
(80,112)
(39,71)
(145,89)
(137,85)
(149,50)
(191,65)
(85,56)
(177,130)
(54,87)
(185,143)
(85,65)
(160,68)
(173,187)
(168,81)
(203,48)
(51,72)
(178,113)
(66,70)
(59,31)
(184,53)
(142,47)
(47,38)
(199,163)
(105,156)
(207,176)
(188,172)
(54,181)
(173,52)
(210,190)
(200,155)
(68,97)
(203,142)
(206,49)
(147,161)
(210,199)
(214,62)
(76,119)
(152,78)
(182,128)
(165,48)
(40,44)
(144,83)
(169,167)
(85,195)
(133,92)
(55,154)
(164,70)
(70,152)
(208,104)
(39,57)
(135,43)
(71,126)
(82,126)
(180,42)
(161,181)
(70,170)
(142,177)
(188,46)
(181,168)
(63,131)
(138,45)
(95,74)
(63,140)
(36,186)
(60,116)
(193,151)
(206,170)
(146,174)
(69,201)
(176,184)
(164,182)
(188,158)
(149,180)
(178,135)
(157,161)
(88,98)
(48,25)
(203,137)
(131,41)
(57,101)
(80,66)
(149,175)
(67,133)
(164,47)
(49,106)
(61,71)
(204,129)
(32,184)
(54,32)
(59,147)
(173,132)
(35,189)
(47,154)
(202,177)
(83,86)
(125,101)
(36,163)
(91,99)
(84,69)
(168,62)
(95,87)
(72,85)
(169,45)
(84,105)
(171,73)
(70,30)
(73,166)
(199,153)
(65,64)
(179,184)
(194,47)
(202,60)
(171,91)
(99,84)
(132,81)
(45,122)
(206,48)
(179,31)
(149,179)
(59,124)
(179,40)
(179,49)
(113,122)
(39,47)
(150,171)
(173,136)
(182,194)
(181,149)
(37,212)
(39,65)
(202,190)
(122,81)
(32,26)
(157,48)
(84,64)
(35,22)
(134,172)
(124,109)
(209,95)
(72,80)
(221,69)
(95,82)
(53,76)
(176,165)
(92,193)
(42,174)
(210,139)
(59,25)
(128,97)
(42,192)
(194,42)
(117,106)
(180,144)
(68,64)
(183,51)
(209,189)
(57,73)
(69,38)
(191,162)
(140,89)
(140,98)
(175,65)
(187,30)
(200,149)
(89,132)
(176,48)
(190,184)
(130,179)
(53,206)
(172,166)
(83,85)
(95,50)
(76,198)
(77,163)
(38,181)
(85,27)
(80,159)
(95,59)
(87,55)
(177,110)
(213,51)
(58,177)
(171,45)
(52,106)
(147,78)
(198,160)
(194,199)
(206,164)
(93,116)
(180,121)
(187,169)
(136,96)
(115,162)
(171,63)
(210,143)
(194,37)
(180,139)
(202,50)
(109,97)
(194,46)
(137,177)
(60,204)
(191,157)
(209,202)
(138,169)
(184,136)
(152,76)
(59,123)
(71,88)
(190,179)
(166,78)
(95,36)
(75,67)
(202,171)
(84,45)
(119,164)
(124,90)
(202,189)
(43,25)
(183,185)
(99,24)
(72,70)
(62,124)
(144,175)
(84,72)
(53,75)
(183,50)
(80,28)
(39,176)
(186,186)
(70,91)
(33,200)
(152,62)
(34,174)
(169,142)
(82,83)
(34,192)
(46,157)
(177,73)
(39,41)
(102,79)
(112,111)
(185,95)
(194,171)
(95,58)
(69,158)
(95,67)
(205,46)
(208,191)
(39,153)
(180,138)
(191,138)
(21,212)
(137,176)
(43,132)
(51,145)
(189,186)
(82,60)
(71,60)
(33,195)
(197,199)
(162,80)
(71,69)
(205,158)
(193,67)
(144,62)
(179,29)
(163,152)
(173,98)
(148,172)
(37,183)
(54,25)
(209,48)
(58,126)
(23,19)
(75,57)
(94,70)
(102,74)
(159,38)
(201,44)
(178,42)
(197,55)
(95,44)
(194,157)
(204,189)
(178,60)
(52,91)
(93,92)
(54,110)
(56,52)
(171,39)
(144,174)
(190,52)
(179,141)
(147,81)
(212,49)
(209,151)
(185,193)
(209,160)
(109,82)
(84,156)
(142,88)
(87,152)
(201,174)
(36,88)
(98,72)
(136,175)
(90,68)
(50,32)
(83,38)
(208,60)
(48,80)
(112,83)
(185,67)
(203,201)
(60,54)
(40,85)
(52,50)
(75,52)
(123,101)
(44,46)
(197,50)
(37,196)
(103,43)
(34,20)
(41,68)
(194,161)
(69,148)
(210,87)
(105,80)
(219,65)
(91,145)
(147,58)
(176,131)
(47,209)
(101,189)
(37,25)
(211,61)
(64,60)
(65,25)
(62,127)
(117,72)
(86,66)
(208,190)
(186,153)
(120,77)
(70,58)
(196,45)
(89,71)
(204,58)
(209,164)
(95,151)
(78,80)
(97,93)
(196,63)
(142,92)
(201,178)
(48,48)
(159,172)
(119,99)
(205,139)
(47,92)
(185,44)
(90,72)
(216,59)
(139,175)
(200,182)
(185,53)
(117,184)
(75,29)
(177,49)
(25,208)
(177,58)
(33,32)
(105,48)
(204,170)
(189,32)
(43,225)
(129,176)
(140,176)
(24,221)
(158,72)
(79,157)
(95,34)
(108,53)
(170,37)
(159,46)
(87,39)
(28,200)
(91,149)
(62,113)
(66,74)
(208,176)
(193,187)
(166,170)
(169,77)
(51,103)
(63,203)
(78,66)
(150,82)
(124,182)
(204,62)
(21,206)
(159,158)
(181,78)
(165,61)
(173,74)
(136,174)
(41,31)
(67,169)
(177,53)
(169,189)
(62,72)
(58,120)
(32,220)
(49,151)
(90,152)
(61,116)
(121,167)
(129,171)
(178,36)
(54,86)
(102,135)
(162,186)
(179,117)
(168,80)
(219,64)
(74,73)
(91,153)
(74,82)
(184,52)
(28,213)
(174,169)
(155,165)
(126,92)
(41,143)
(59,39)
(186,143)
(206,210)
(143,172)
(211,78)
(89,61)
(75,163)
(90,26)
(135,177)
(29,205)
(64,135)
(201,159)
(173,51)
(205,120)
(189,166)
(172,95)
(173,69)
(108,187)
(31,214)
(175,106)
(204,151)
(203,195)
(52,44)
(175,133)
(62,76)
(196,165)
(61,120)
(74,50)
(165,168)
(198,116)
(162,181)
(168,75)
(128,39)
(114,104)
(120,35)
(180,86)
(169,49)
(184,47)
(208,166)
(28,208)
(94,144)
(185,164)
(209,140)
(178,134)
(130,94)
(155,178)
(201,145)
(56,117)
(199,175)
(173,55)
(214,56)
(200,158)
(191,189)
(86,145)
(31,209)
(174,38)
(184,159)
(166,34)
(67,150)
(200,185)
(37,158)
(176,75)
(124,37)
(196,151)
(204,164)
(35,206)
(180,54)
(62,80)
(63,134)
(60,119)
(84,86)
(71,165)
(114,108)
(52,142)
(64,107)
(59,38)
(118,87)
(169,71)
(178,138)
(190,103)
(124,167)
(158,169)
(178,147)
(189,147)
(198,214)
(77,64)
(40,24)
(175,78)
(200,162)
(183,91)
(39,217)
(61,65)
(141,85)
(192,167)
(155,172)
(161,161)
(206,74)
(179,57)
(204,141)
(181,139)
(169,183)
(90,128)
(62,57)
(199,44)
(203,185)
(181,148)
(50,101)
(150,179)
(188,53)
(165,149)
(196,164)
(122,89)
(185,136)
(54,89)
(95,90)
(161,44)
(55,35)
(176,191)
(182,85)
(195,204)
(27,211)
(188,174)
(200,139)
(40,28)
(77,77)
(214,64)
(200,166)
(184,149)
(181,125)
(35,169)
(184,158)
(133,94)
(205,199)
(204,145)
(115,67)
(179,70)
(39,59)
(125,99)
(172,183)
(83,93)
(54,66)
(208,133)
(106,76)
(94,111)
(91,124)
(174,140)
(26,214)
(87,90)
(169,52)
(205,73)
(161,48)
(202,49)
(210,151)
(156,180)
(161,57)
(100,38)
(55,48)
(30,202)
(153,53)
(117,118)
(203,139)
(120,114)
(209,201)
(66,143)
(99,91)
(132,88)
(121,88)
(73,200)
(214,50)
(201,206)
(56,129)
(98,95)
(77,72)
(141,66)
(176,42)
(187,42)
(192,148)
(49,99)
(157,181)
(192,166)
(179,56)
(102,83)
(176,69)
(42,78)
(78,162)
(63,110)
(188,43)
(46,188)
(85,39)
(157,55)
(38,202)
(111,186)
(66,44)
(149,51)
(187,163)
(136,90)
(50,185)
(73,159)
(88,68)
(56,97)
(42,199)
(194,49)
(76,75)
(99,77)
(200,120)
(200,164)
(80,45)
(140,96)
(50,41)
(109,127)
(80,54)
(42,37)
(95,192)
(129,96)
(132,101)
(31,198)
(80,63)
(187,46)
(58,72)
(66,174)
(206,112)
(164,53)
(176,55)
(133,84)
(213,193)
(161,155)
(202,165)
(193,107)
(100,154)
(83,83)
(38,179)
(202,183)
(84,57)
(191,43)
(95,66)
(178,82)
(95,75)
(133,178)
(87,71)
(40,148)
(177,135)
(147,85)
(170,87)
(171,70)
(182,70)
(44,127)
(191,146)
(27,205)
(120,104)
(179,190)
(211,133)
(180,164)
(209,200)
(77,62)
(80,58)
(69,58)
(59,112)
(43,167)
(55,132)
(169,154)
(25,217)
(198,50)
(133,79)
(45,195)
(205,175)
(39,35)
(205,47)
(202,160)
(75,65)
(48,111)
(34,213)
(93,24)
(39,53)
(102,91)
(202,169)
(189,68)
(50,148)
(152,168)
(96,26)
(57,205)
(62,131)
(159,82)
(84,79)
(72,77)
(198,171)
(117,94)
(65,56)
(198,180)
(210,145)
(156,183)
(201,182)
(203,124)
(66,146)
(203,133)
(41,211)
(202,146)
(174,75)
(209,51)
(186,58)
(174,102)
(75,78)
(144,168)
(79,197)
(76,24)
(136,75)
(170,77)
(195,161)
(198,148)
(46,29)
(45,73)
(76,51)
(73,153)
(212,70)
(163,65)
(180,145)
(52,188)
(189,175)
(167,184)
(213,151)
(66,141)
(201,186)
(42,31)
(55,113)
(79,80)
(185,70)
(155,66)
(91,72)
(155,75)
(189,40)
(140,175)
(183,155)
(94,77)
(95,42)
(183,164)
(204,196)
(95,51)
(170,54)
(188,99)
(49,191)
(44,85)
(144,172)
(179,139)
(204,223)
(193,186)
(147,79)
(182,46)
(42,170)
(54,135)
(209,158)
(199,135)
(186,165)
(57,51)
(183,38)
(84,154)
(180,140)
(33,179)
(79,57)
(189,179)
(33,188)
(67,101)
(114,185)
(79,66)
(98,79)
(82,62)
(174,47)
(42,26)
(193,51)
(190,162)
(189,197)
(208,58)
(25,202)
(166,52)
(177,52)
(68,145)
(183,132)
(177,61)
(112,90)
(68,154)
(197,39)
(148,174)
(48,96)
(158,66)
(178,44)
(87,24)
(132,175)
(41,75)
(196,187)
(98,191)
(96,29)
(200,68)
(179,134)
(50,160)
(208,170)
(209,144)
(139,70)
(182,50)
(29,195)
(66,104)
(78,69)
(49,33)
(85,117)
(29,204)
(139,88)
(186,169)
(114,162)
(21,209)
(106,158)
(181,72)
(25,215)
(203,203)
(158,61)
(104,90)
(155,74)
(46,167)
(194,154)
(75,63)
(183,154)
(72,48)
(124,86)
(208,156)
(176,133)
(200,63)
(127,91)
(204,213)
(196,200)
(196,209)
(195,112)
(17,216)
(108,96)
(82,196)
(208,183)
(184,64)
(130,93)
(143,175)
(193,194)
(98,33)
(197,155)
(67,64)
(113,31)
(130,102)
(41,173)
(53,138)
(47,67)
(87,140)
(196,65)
(185,28)
(142,94)
